J	Payagala, Tharanga; Huang, Junmin; Breitbach, Zachary S.; Sharma, Pritesh S.; Armstrong, Daniel W.								Unsymmetrical dicationic ionic liquids: Manipulation of physicochemical properties using specific structural architectures								CHEMISTRY OF MATERIALS				19	24			5848	5850		10.1021/cm702325a			NOV 27 2007	2007										159							WOS:000251150900016		
J	Byrne, Nolene; Wang, Li-Min; Belieres, Jean-Philippe; Angell, C. Austen								Reversible folding-unfolding, aggregation protection, and multi-year stabilization, in high concentration protein solutions, using ionic liquids								CHEMICAL COMMUNICATIONS					26			2714	2716		10.1039/b618943a			2007	2007										159							WOS:000247543000024		
J	He, Tao; Yao, Jiannian								Photochromic materials based on tungsten oxide								JOURNAL OF MATERIALS CHEMISTRY				17	43			4547	4557		10.1039/b709380b			2007	2007										159							WOS:000250554500009		
J	Camper, Dean; Bara, Jason; Koval, Carl; Noble, Richard								Bulk-fluid solubility and membrane feasibility of Rmim-based room-temperature ionic liquids								INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH				45	18			6279	6283		10.1021/ie060177n			AUG 30 2006	2006										159							WOS:000239932100021		
J	Mora-Sero, I; Bisquert, J; Fabregat-Santiago, F; Garcia-Belmonte, G; Zoppi, G; Durose, K; Proskuryakov, Y; Oja, I; Belaidi, A; Dittrich, T; Tena-Zaera, R; Katty, A; Levy-Clement, C; Barrioz, V; Irvine, SJC								Implications of the negative capacitance observed at forward bias in nanocomposite and polycrystalline solar cells								NANO LETTERS				6	4			640	650		10.1021/nl052295q			APR 2006	2006										159							WOS:000236916200011		
J	Fabregat-Santiago, F; Garcia-Canadas, J; Palomares, E; Clifford, JN; Haque, SA; Durrant, JR; Garcia-Belmonte, G; Bisquert, J								The origin of slow electron recombination processes in dye-sensitized solar cells with alumina barrier coatings								JOURNAL OF APPLIED PHYSICS				96	11			6903	6907		10.1063/1.1812588			DEC 1 2004	2004										159							WOS:000225300800149		
J	Yin, S; Hasegawa, H; Maeda, D; Ishitsuka, M; Sato, T								Synthesis of visible-light-active nanosize rutile titania photocatalyst by low temperature dissolution-reprecipitation process								JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY				163	1-2			1	8		10.1016/S1010-6030(03)00289-2			APR 15 2004	2004										159							WOS:000220728200001		
J	Jeon, S; Braun, PV								Hydrothermal synthesis of Er-doped luminescent TiO2 nanoparticles								CHEMISTRY OF MATERIALS				15	6			1256	1263		10.1021/cm0207402			MAR 25 2003	2003										159							WOS:000181816800008		
J	Wang, YD; Ma, CL; Sun, XD; Li, HD								Preparation of nanocrystalline metal oxide powders with the surfactant-mediated method								INORGANIC CHEMISTRY COMMUNICATIONS				5	10			751	755	PII S1387-7003(02)00546-4	10.1016/S1387-7003(02)00546-4			OCT 2002	2002										159							WOS:000178648800003		
J	Arabatzis, IM; Antonaraki, S; Stergiopoulos, T; Hiskia, A; Papaconstantinou, E; Bernard, MC; Falaras, P								Preparation, characterization and photocatalytic activity of nanocrystalline thin film TiO2 catalysts towards 3,5-dichlorophenol degradation								JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY				149	1-3			237	245	PII S1010-6030(01)00645-1	10.1016/S1010-6030(01)00645-1			JUN 28 2002	2002										159							WOS:000176728800028		
J	Koelsch, M; Cassaignon, S; Guillemoles, JF; Jolivet, JR								Comparison of optical and electrochemical properties of anatase and brookite TiO2 synthesized by the sol-gel method								THIN SOLID FILMS				403				312	319	PII S0040-6090(01)01509-7	10.1016/S0040-6090(01)01509-7			FEB 1 2002	2002						E-MRS 2001 Spring Meeting	JUN 05-08, 2001		STRASBOURG, FRANCE	159							WOS:000174053800061		
J	Meulenkamp, EA								Size dependence of the dissolution of ZnO nanoparticles								JOURNAL OF PHYSICAL CHEMISTRY B				102	40			7764	7769		10.1021/jp982305u			OCT 1 1998	1998										159							WOS:000076380800012		
J	MEIER, M; WOKAUN, A; LIAO, PF								ENHANCED FIELDS ON ROUGH SURFACES - DIPOLAR INTERACTIONS AMONG PARTICLES OF SIZES EXCEEDING THE RAYLEIGH LIMIT								JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS				2	6			931	949		10.1364/JOSAB.2.000931			1985	1985										159							WOS:A1985AKC6100010		
J	WEBER, E; VOGTLE, F								CROWN-TYPE COMPOUNDS - AN INTRODUCTORY OVERVIEW								TOPICS IN CURRENT CHEMISTRY				98				1	41					1981	1981										159							WOS:A1981NV12500001		
J	Zhang, Peng; Wang, Tuo; Gong, Jinlong								Mechanistic Understanding of the Plasmonic Enhancement for Solar Water Splitting								ADVANCED MATERIALS				27	36			5328	5342		10.1002/adma.201500888			SEP 23 2015	2015										158							WOS:000362521100006		
J	Nian, Li; Zhang, Wenqiang; Zhu, Na; Liu, Linlin; Xie, Zengqi; Wu, Hongbin; Wuerthner, Frank; Ma, Yuguang								Photoconductive Cathode Inter layer for Highly Efficient Inverted Polymer Solar Cells								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				137	22			6995	6998		10.1021/jacs.5b02168			JUN 10 2015	2015										158							WOS:000356322300006		
J	Schmidt, Hennrik; Giustiniano, Francesco; Eda, Goki								Electronic transport properties of transition metal dichalcogenide field-effect devices: surface and interface effects								CHEMICAL SOCIETY REVIEWS				44	21			7715	7736		10.1039/c5cs00275c			2015	2015										158							WOS:000363152800008		
J	Li, Wenzhe; Dong, Haopeng; Wang, Liduo; Li, Nan; Guo, Xudong; Li, Jiangwei; Qiu, Yong								Montmorillonite as bifunctional buffer layer material for hybrid perovskite solar cells with protection from corrosion and retarding recombination								JOURNAL OF MATERIALS CHEMISTRY A				2	33			13587	13592		10.1039/c4ta01550a			SEP 7 2014	2014										158							WOS:000340514500052		
J	Hu, Shaozheng; Ma, Lin; You, Jiguang; Li, Fayun; Fan, Zhiping; Lu, Guang; Liu, Dan; Gui, Jianzhou								Enhanced visible light photocatalytic performance of g-C3N4 photocatalysts co-doped with iron and phosphorus								APPLIED SURFACE SCIENCE				311				164	171		10.1016/j.apsusc.2014.05.036			AUG 30 2014	2014										158							WOS:000339037200025		
J	Zhou, Min; Bao, Jian; Xu, Yang; Zhang, Jiajia; Xie, Junfeng; Guan, Meili; Wang, Chengliang; Wen, Liaoyong; Lei, Yong; Xie, Yi								Photoelectrodes Based upon Mo: BiVO4 Inverse Opals for Photoelectrochemical Water Splitting								ACS NANO				8	7			7088	7098		10.1021/nn501996a			JUL 2014	2014										158							WOS:000339463100064		
J	Wilson, D.; Langell, M. A.								XPS analysis of oleylamine/oleic acid capped Fe3O4 nanoparticles as a function of temperature								APPLIED SURFACE SCIENCE				303				6	13		10.1016/j.apsusc.2014.02.006			JUN 1 2014	2014										158							WOS:000334293200002		
J	Cho, In Sun; Lee, Chi Hwan; Feng, Yunzhe; Logar, Manca; Rao, Pratap M.; Cai, Lili; Kim, Dong Rip; Sinclair, Robert; Zheng, Xiaolin								Codoping titanium dioxide nanowires with tungsten and carbon for enhanced photoelectrochemical performance								NATURE COMMUNICATIONS				4						1723	10.1038/ncomms2729			APR 2013	2013										158							WOS:000318872100080		
J	Innocenzi, Plinio; Malfatti, Luca								Mesoporous thin films: properties and applications								CHEMICAL SOCIETY REVIEWS				42	9			4198	4216		10.1039/c3cs35377j			2013	2013										158							WOS:000317596100030		
J	Berger, Thomas; Monllor-Satoca, Damian; Jankulovska, Milena; Lana-Villarreal, Teresa; Gomez, Roberto								The Electrochemistry of Nanostructured Titanium Dioxide Electrodes								CHEMPHYSCHEM				13	12			2824	2875		10.1002/cphc.201200073			AUG 27 2012	2012										158							WOS:000307841900002		
J	Chang, Jeong Ah; Im, Sang Hyuk; Lee, Yong Hui; Kim, Hi-jung; Lim, Choong-Sun; Heo, Jin Hyuk; Seok, Sang Il								Panchromatic Photon-Harvesting by Hole-Conducting Materials in Inorganic-Organic Heterojunction Sensitized-Solar Cell through the Formation of Nanostructured Electron Channels								NANO LETTERS				12	4			1863	1867		10.1021/nl204224v			APR 2012	2012										158							WOS:000302524600021		
J	Fan, Jiajie; Liu, Shengwei; Yu, Jiaguo								Enhanced photovoltaic performance of dye-sensitized solar cells based on TiO2 nanosheets/graphene composite films								JOURNAL OF MATERIALS CHEMISTRY				22	33			17027	17036		10.1039/c2jm33104g			2012	2012										158							WOS:000306972900048		
J	Wu, Yongzhen; Zhang, Xi; Li, Wenqin; Wang, Zhong-Sheng; Tian, He; Zhu, Weihong								Hexylthiophene-Featured D-A-pi-A Structural Indoline Chromophores for Coadsorbent-Free and Panchromatic Dye-Sensitized Solar Cells								ADVANCED ENERGY MATERIALS				2	1			149	156		10.1002/aenm.201100341			JAN 2012	2012										158							WOS:000298982500020		
J	Han, Jian-Tao; Huang, Yun-Hui; Goodenough, John B.								New Anode Framework for Rechargeable Lithium Batteries								CHEMISTRY OF MATERIALS				23	8			2027	2029		10.1021/cm200441h			APR 26 2011	2011										158							WOS:000289589000008		
J	Robertson, J.; Clark, S. J.								Limits to doping in oxides								PHYSICAL REVIEW B				83	7					075205	10.1103/PhysRevB.83.075205			FEB 28 2011	2011										158							WOS:000287796600007		
J	Inagaki, Akiko; Akita, Munetaka								Visible-light promoted bimetallic catalysis								COORDINATION CHEMISTRY REVIEWS				254	11-12			1220	1239		10.1016/j.ccr.2009.11.003			JUN 2010	2010										158							WOS:000277681500002		
J	Yang, Wei-Guang; Wan, Fa-Rong; Chen, Qing-Wei; Li, Jing-Jian; Xu, Dong-Sheng								Controlling synthesis of well-crystallized mesoporous TiO2 microspheres with ultrahigh surface area for high-performance dye-sensitized solar cells								JOURNAL OF MATERIALS CHEMISTRY				20	14			2870	2876		10.1039/b923105f			2010	2010										158							WOS:000275925100016		
J	Meng, Sheng; Ren, Jun; Kaxiras, Efthimios								Natural Dyes Adsorbed on TiO2 Nanowire for Photovoltaic Applications: Enhanced Light Absorption and Ultrafast Electron Injection								NANO LETTERS				8	10			3266	3272		10.1021/nl801644d			OCT 2008	2008										158							WOS:000259906800035		
J	Zhan, Xin-Qi; Qian, Zhen-Hua; Zheng, Hong; Su, Bing-Yuan; Lan, Zhi; Xu, Jin-Gou								Rhodamine thiospirolactone. Highly selective and sensitive reversible sensing of Hg(II)								CHEMICAL COMMUNICATIONS					16			1859	1861		10.1039/b719473k			APR 28 2008	2008										158							WOS:000254825200004		
J	Na, Yong; Wang, Mei; Pan, Jingxi; Zhang, Pan; Akermark, Bjoern; Sun, Licheng								Visible light-driven electron transfer and hydrogen generation catalyzed by bioinspired [2Fe2S] complexes								INORGANIC CHEMISTRY				47	7			2805	2810		10.1021/ic702010w			APR 7 2008	2008										158							WOS:000254603900074		
J	Obara, Shinya; Itabashi, Masumi; Okuda, Fumio; Tamaki, Satoru; Tanabe, Yoshiaki; Ishii, Youichi; Nozaki, Koichi; Haga, Masa-aki								Highly phosphorescent iridium complexes containing both tridentate bis(benzimidazolyl)-benzene or -pyridine and bidentate phenylpyridine: Synthesis, photophysical properties, and theoretical study of Ir-bis(benzimidazolyl) benzene complex								INORGANIC CHEMISTRY				45	22			8907	8921		10.1021/ic060796o			OCT 30 2006	2006										158							WOS:000241435300023		
J	Lira-Cantu, Monica; Krebs, Frederik C.								Hybrid solar cells based on MEH-PPV and thin film semiconductor oxides (TiO2, Nb2O5, ZnO, CeO(2)and CeO2-TiO2): Performance improvement during long-time irradiation								SOLAR ENERGY MATERIALS AND SOLAR CELLS				90	14			2076	2086		10.1016/j.solmat.2006.02.007			SEP 6 2006	2006										158							WOS:000238924700002		
J	Rana, S.; Rawat, J.; Sorensson, M. M.; Misra, R. D. K.								Antimicrobial function of Nd3+-doped anatase titania-coated nickel ferrite composite nanoparticles: A biomaterial system								ACTA BIOMATERIALIA				2	4			421	432		10.1016/j.actbio.2006.03.005			JUL 2006	2006										158							WOS:000238742800006		
J	Shin, Joon-Ho; Henderson, Wesley A.; Scaccia, Silvera; Prosini, Pier Paolo; Passerini, Stefano								Solid-state Li/LiFePO4 polymer electrolyte batteries incorporating an ionic liquid cycled at 40 degrees C								JOURNAL OF POWER SOURCES				156	2			560	566		10.1016/j.jpowsour.2005.06.026			JUN 1 2006	2006										158							WOS:000238412100053		
J	Cordes, David B.; Gamsey, Soya; Singaram, Bakthan								Fluorescent quantum dots with boronic acid substituted viologens to sense glucose in aqueous solution								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				45	23			3829	3832		10.1002/anie.200504390			2006	2006										158							WOS:000238335100022		
J	Kagimoto, Junko; Fukumoto, Kenta; Ohno, Hiroyuki								Effect of tetrabutylphosphonium cation on the physico-chemical properties of amino-acid ionic liquids								CHEMICAL COMMUNICATIONS					21			2254	2256		10.1039/b600771f			2006	2006										158							WOS:000237715800014		
J	Schwab, PFH; Smith, JR; Michl, J								Synthesis and properties of molecular rods. 2. Zig-zag rods								CHEMICAL REVIEWS				105	4			1197	1279		10.1021/cr040707u			APR 2005	2005										158							WOS:000228412800005		
J	Islam, A; Sugihara, H; Arakawa, H								Molecular design of ruthenium(II) polypyridyl photosensitizers for efficient nanocrystalline TiO2 solar cells								JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY				158	2-3			131	138		10.1016/S1010-6030(03)00027-3			JUN 2 2003	2003						5th International Symposium on Photoreaction Control and Photofunctional Materials	MAR 18-20, 2002	Natl Inst Adv Ind Sci & Technol	TSUKUBA, JAPAN	158							WOS:000182865400010		
J	Handy, ST; Zhang, XL								Organic synthesis in ionic liquids: The Stille coupling								ORGANIC LETTERS				3	2			233	236		10.1021/ol0068849			JAN 25 2001	2001										158							WOS:000166529300023		
J	Favre, F; Olivier-Bourbigou, H; Commereuc, D; Saussine, L								Hydroformylation of 1-hexene with rhodium in non-aqueous ionic liquids: how to design the solvent and the ligand to the reaction								CHEMICAL COMMUNICATIONS					15			1360	1361		10.1039/b104155j			2001	2001										158							WOS:000170014800017		
J	Pacchioni, G								Quantum chemistry of oxide surfaces: From CO chemisorption to the identification of the structure and nature of point defects on MgO								SURFACE REVIEW AND LETTERS				7	3			277	306					JUN 2000	2000										158							WOS:000089446100011		
J	Ishihara, T; Nishiguchi, H; Fukamachi, K; Takita, Y								Effects of acceptor doping to KTaO3 on photocatalytic decomposition of pure H2O								JOURNAL OF PHYSICAL CHEMISTRY B				103	1			1	3		10.1021/jp983590k			JAN 7 1999	1999										158							WOS:000079042700001		
J	O'Regan, B; Schwartz, DT								Large enhancement in photocurrent efficiency caused by UV illumination of the dye-sensitized heterojunction TiO2/RuLL ' NCS/CuSCN: Initiation and potential mechanisms								CHEMISTRY OF MATERIALS				10	6			1501	1509		10.1021/cm9705855			JUN 1998	1998										158							WOS:000074275800005		
J	Ardizzone, S; Trasatti, S								Interfacial properties of oxides with technological impact in electrochemistry								ADVANCES IN COLLOID AND INTERFACE SCIENCE				64				173	251		10.1016/0001-8686(95)00286-3			FEB 8 1996	1996										158							WOS:A1996UA60100005		
J	KOVAL, CA; HOWARD, JN								ELECTRON-TRANSFER AT SEMICONDUCTOR ELECTRODE LIQUID ELECTROLYTE INTERFACES								CHEMICAL REVIEWS				92	3			411	433		10.1021/cr00011a004			MAY 1992	1992										158							WOS:A1992HV16900005		
J	STECKHAN, E; HERRMANN, S; RUPPERT, R; DIETZ, E; FREDE, M; SPIKA, E								ANALYTICAL STUDY OF A SERIES OF SUBSTITUTED (2,2'-BIPYRIDYL)(PENTAMETHYLCYCLOPENTADIENYL)RHODIUM AND IRIDIUM COMPLEXES WITH REGARD TO THEIR EFFECTIVENESS AS REDOX CATALYSTS FOR THE INDIRECT ELECTROCHEMICAL AND CHEMICAL-REDUCTION OF NAD(P)+								ORGANOMETALLICS				10	5			1568	1577		10.1021/om00051a056			MAY 1991	1991										158							WOS:A1991FM14600057		
J	MATTHEWS, RW								PHOTOCATALYTIC OXIDATION AND ADSORPTION OF METHYLENE-BLUE ON THIN-FILMS OF NEAR-ULTRAVIOLET-ILLUMINATED TIO2								JOURNAL OF THE CHEMICAL SOCIETY-FARADAY TRANSACTIONS I				85				1291	1302		10.1039/f19898501291			JUN 1989	1989										158							WOS:A1989AA91900009		
J	DARWENT, JR; PORTER, G								PHOTOCHEMICAL HYDROGEN-PRODUCTION USING CADMIUM-SULFIDE SUSPENSIONS IN AERATED WATER								JOURNAL OF THE CHEMICAL SOCIETY-CHEMICAL COMMUNICATIONS					4			145	146		10.1039/c39810000145			1981	1981										158							WOS:A1981LD16900001		
J	HENGLEIN, A; LILIE, J								STORAGE OF ELECTRONS IN AQUEOUS-SOLUTION - THE RATES OF CHEMICAL CHARGING AND DISCHARGING THE COLLOIDAL SILVER MICROELECTRODE								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				103	5			1059	1066		10.1021/ja00395a011			1981	1981										158							WOS:A1981LF69400011		
J	Nishimura, Hidetaka; Ishida, Naoki; Shimazaki, Ai; Wakamiya, Atsushi; Saeki, Akinori; Scott, Lawrence T.; Murata, Yasujiro								Hole-Transporting Materials with a Two-Dimensionally Expanded pi-System around an Azulene Core for Efficient Perovskite Solar Cells								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				137	50			15656	15659		10.1021/jacs.5b11008			DEC 23 2015	2015										157							WOS:000367562800016		
J	Heo, Jin Hyuck; You, Myoung Sang; Chang, Min Hyuk; Yin, Wenping; Ahn, Tae Kyu; Lee, Sang-Ju; Sung, Shi-Joon; Kim, Dae Hwan; Im, Sang Hyuk								Hysteresis-less mesoscopic CH(3)NH(3)Pbl(3) perovskite hybrid solar cells by introduction of Li-treated TiO2 electrode								NANO ENERGY				15				530	539		10.1016/j.nanoen.2015.05.014			JUL 2015	2015										157							WOS:000364578900050		
J	Fernando, Amendra; Dimuthu, K. L.; Weerawardene, M.; Karimova, Natalia V.; Aikens, Christine M.								Quantum Mechanical Studies of Large Metal, Metal Oxide, and Metal Chalcogenide Nanoparticles and Clusters								CHEMICAL REVIEWS				115	12			6112	6216		10.1021/cr500506r			JUN 24 2015	2015										157							WOS:000357064000010		
J	Hu, Qin; Wu, Jiang; Jiang, Chang; Liu, Tanghao; Que, Xinglu; Zhu, Rui; Gong, Qihuang								Engineering of Electron-Selective Contact for Perovskite Solar Cells with Efficiency Exceeding 15%								ACS NANO				8	10			10161	10167		10.1021/nn5029828			OCT 2014	2014										157							WOS:000343952600049		
J	Fan, Feng-Jia; Wu, Liang; Yu, Shu-Hong								Energetic I-III-VI2 and I-2-II-IV-VI4 nanocrystals: synthesis, photovoltaic and thermoelectric applications								ENERGY & ENVIRONMENTAL SCIENCE				7	1			190	208		10.1039/c3ee41437j			JAN 2014	2014										157							WOS:000329550700008		
J	Odobel, Fabrice; Pellegrin, Yann								Recent Advances in the Sensitization of Wide-Band-Gap Nanostructured p-Type Semiconductors. Photovoltaic and Photocatalytic Applications								JOURNAL OF PHYSICAL CHEMISTRY LETTERS				4	15			2551	2564		10.1021/jz400861v			AUG 1 2013	2013										157							WOS:000322807600025		
J	Hayashi, Shinji; Okamoto, Takayuki								Plasmonics: visit the past to know the future								JOURNAL OF PHYSICS D-APPLIED PHYSICS				45	43					433001	10.1088/0022-3727/45/43/433001			OCT 31 2012	2012										157							WOS:000310442700002		
J	Xu, Jun; Yang, Xia; Yang, Qing-Dan; Wong, Tai-Lun; Lee, Chun-Sing								Cu2ZnSnS4 Hierarchical Microspheres as an Effective Counter Electrode Material for Quantum Dot Sensitized Solar Cells								JOURNAL OF PHYSICAL CHEMISTRY C				116	37			19718	19723		10.1021/jp306628m			SEP 20 2012	2012										157							WOS:000308855600014		
J	Mao, Jiangyi; He, Nannan; Ning, Zhijun; Zhang, Qiong; Guo, Fuling; Chen, Long; Wu, Wenjun; Hua, Jianli; Tian, He								Stable Dyes Containing Double Acceptors without COOH as Anchors for Highly Efficient Dye-Sensitized Solar Cells								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				51	39			9873	9876		10.1002/anie.201204948			2012	2012										157							WOS:000308886800031		
J	Peter, Laurence M.; Wijayantha, K. G. Upul; Tahir, Asif A.								Kinetics of light-driven oxygen evolution at alpha-Fe2O3 electrodes								FARADAY DISCUSSIONS				155				309	322		10.1039/c1fd00079a			2012	2012										157							WOS:000299793100022		
J	Ahmed, Naveed; Shibata, Yoshiyuki; Taniguchi, Tatsuo; Izumi, Yasuo								Photocatalytic conversion of carbon dioxide into methanol using zinc-copper-M(III) (M = aluminum, gallium) layered double hydroxides								JOURNAL OF CATALYSIS				279	1			123	135		10.1016/j.jcat.2011.01.004			APR 1 2011	2011										157							WOS:000289134700011		
J	Kuepper, Frithjof C.; Feiters, Martin C.; Olofsson, Berit; Kaiho, Tatsuo; Yanagida, Shozo; Zimmermann, Michael B.; Carpenter, Lucy J.; Luther, George W., III; Lu, Zunli; Jonsson, Mats; Kloo, Lars								Commemorating Two Centuries of Iodine Research: An Interdisciplinary Overview of Current Research								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				50	49			11598	11620		10.1002/anie.201100028			2011	2011										157							WOS:000298084900006		
J	Lee, Kun Seok; Lee, Won Jun; Park, Nam-Gyu; Kim, Sang Ouk; Park, Jong Hyeok								Transferred vertically aligned N-doped carbon nanotube arrays: use in dye-sensitized solar cells as counter electrodes								CHEMICAL COMMUNICATIONS				47	14			4264	4266		10.1039/c1cc10471c			2011	2011										157							WOS:000288610500065		
J	Pan, Jian; Wu, Xia; Wang, Lianzhou; Liu, Gang; Lu, Gao Qing (Max); Cheng, Hui-Ming								Synthesis of anatase TiO2 rods with dominant reactive {010} facets for the photoreduction of CO2 to CH4 and use in dye-sensitized solar cells								CHEMICAL COMMUNICATIONS				47	29			8361	8363		10.1039/c1cc13034j			2011	2011										157							WOS:000292980900049		
J	Xia, Jiangbin; Chen, Ling; Yanagida, Shozo								Application of polypyrrole as a counter electrode for a dye-sensitized solar cell								JOURNAL OF MATERIALS CHEMISTRY				21	12			4644	4649		10.1039/c0jm04116e			2011	2011										157							WOS:000288220600091		
J	Yan, Junfeng; Zhou, Feng								TiO2 nanotubes: Structure optimization for solar cells								JOURNAL OF MATERIALS CHEMISTRY				21	26			9406	9418		10.1039/c1jm10274e			2011	2011										157							WOS:000291878100002		
J	Li, Renzhi; Liu, Jingyuan; Cai, Ning; Zhang, Min; Wang, Peng								Synchronously Reduced Surface States, Charge Recombination, and Light Absorption Length for High-Performance Organic Dye-Sensitized Solar Cells								JOURNAL OF PHYSICAL CHEMISTRY B				114	13			4461	4464		10.1021/jp101222s			APR 8 2010	2010										157							WOS:000276096600009		
J	Kim, Doohun; Ghicov, Andrei; Schmuki, Patrik								TiO2 Nanotube arrays: Elimination of disordered top layers ("nanograss") for improved photoconversion efficiency in dye-sensitized solar cells								ELECTROCHEMISTRY COMMUNICATIONS				10	12			1835	1838		10.1016/j.elecom.2008.09.029			DEC 2008	2008										157							WOS:000261985300005		
J	Lee, Seung-Hyun Anna; Abrams, Neal M.; Hoertz, Paul G.; Barber, Greg D.; Halaoui, Lara I.; Mallouk, Thomas E.								Coupling of Titania Inverse Opals to Nanocrystalline Titania Layers in Dye-Sensitized Solar Cells								JOURNAL OF PHYSICAL CHEMISTRY B				112	46			14415	14421		10.1021/jp802692u			NOV 20 2008	2008										157							WOS:000260923400010		
J	Ma, Dik-Lung; Wong, Wing-Leung; Chung, Wai-Hong; Chan, Fung-Yi; So, Pui-Kin; Lai, Tat-Shing; Zhou, Zhong-Yuan; Leung, Yun-Chung; Wong, Kwok-Yin								A highly selective luminescent switch-on probe for histidine/histidine-rich proteins and its application in protein staining								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				47	20			3735	3739		10.1002/anie.200705319			2008	2008										157							WOS:000255791200011		
J	Kroon, Maaike C.; Buijs, Wim; Peters, Cor J.; Witkamp, Geert-Jan								Quantum chemical aided prediction of the thermal decomposition mechanisms and temperatures of ionic liquids								THERMOCHIMICA ACTA				465	1-2			40	47		10.1016/j.tca.2007.09.003			DEC 15 2007	2007										157							WOS:000251727300006		
J	Nockemann, Peter; Thijs, Ben; Driesen, Kris; Janssen, Colin R.; Van Hecke, Kristof; Van Meervelt, Luc; Kossmann, Simone; Kirchner, Barbara; Binnemans, Koen								Choline saccharinate and choline acesulfamate: Ionic liquids with low toxicities								JOURNAL OF PHYSICAL CHEMISTRY B				111	19			5254	5263		10.1021/jp068446a			MAY 17 2007	2007										157							WOS:000246341300032		
J	Lee, Tae Young; Alegaonkar, P. S.; Yoo, Ji-Beom								Fabrication of dye sensitized solar cell using TiO2 coated carbon nanotubes								THIN SOLID FILMS				515	12			5131	5135		10.1016/j.tsf.2006.10.056			APR 23 2007	2007						27th Dry Process Symposium (DPS)	NOV 28-30, 2005		Cheju Isl, SOUTH KOREA	157							WOS:000245739600061		
J	Marin, Veronica; Holder, Elisabeth; Hoogenboom, Richard; Schubert, Ulrich S.								Functional ruthenium(II)- and iridium(III)-containing polymers for potential electro-optical applications								CHEMICAL SOCIETY REVIEWS				36	4			618	635		10.1039/b610016c			2007	2007										157							WOS:000245241100004		
J	Elias, Benjamin; Kirsch-De Mesmaeker, Andree								Photo-reduction of polyazaaromatic Ru(II) complexes by biomolecules and possible applications								COORDINATION CHEMISTRY REVIEWS				250	13-14			1627	1641		10.1016/j.ccr.2005.11.011			JUL 2006	2006						16th International Symposium on Photochemistry and Photophysics for Coordination Compounds	2006	Amer Chem Soc, Petr Res Fund	Pacific Grove, CA	157							WOS:000238603900003		
J	Kim, Seok-Soon; Nah, Yoon-Chae; Noh, Yong-Young; Jo, Jang; Kim, Dong-Yu								Electrodeposited Pt for cost-efficient and flexible dye-sensitized solar cells								ELECTROCHIMICA ACTA				51	18			3814	3819		10.1016/j.electacta.2005.10.047			MAY 5 2006	2006										157							WOS:000237647300031		
J	Ewing, GE								Ambient thin film water on insulator surfaces								CHEMICAL REVIEWS				106	4			1511	1526		10.1021/cr040369x			APR 2006	2006										157							WOS:000236990300016		
J	Han, HW; Liu, W; Zhang, J; Zhao, XZ								A hybrid poly(ethylene oxide)/poly(vinylidene fluoride)/TiO2 nanoparticle solid-state redox electrolyte for dye-sensitized nanocrystalline solar cells								ADVANCED FUNCTIONAL MATERIALS				15	12			1940	1944		10.1002/adfm.200500159			DEC 2005	2005										157							WOS:000234012900005		
J	Camper, D; Becker, C; Koval, C; Noble, R								Low pressure hydrocarbon solubility in room temperature ionic liquids containing imidazolium rings interpreted using regular solution theory								INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH				44	6			1928	1933		10.1021/ie049312r			MAR 16 2005	2005										157							WOS:000227634900039		
J	Kavitha, J; Chang, SY; Chi, Y; Yu, JK; Hu, YH; Chou, PT; Peng, SM; Lee, GH; Tao, YT; Chien, CH; Carty, AJ								In search of high-performance platinum(II) phosphorescent materials for the fabrication of red electroluminescent devices								ADVANCED FUNCTIONAL MATERIALS				15	2			223	229		10.1002/adfm.200400131			FEB 2005	2005										157							WOS:000227403100006		
J	Gao, XP; Zhu, HY; Pan, GL; Ye, SH; Lan, Y; Wu, F; Song, DY								Preparation and electrochemical characterization of anatase nanorods for lithium-inserting electrode material								JOURNAL OF PHYSICAL CHEMISTRY B				108	9			2868	2872		10.1021/jp036821i			MAR 4 2004	2004										157							WOS:000220021600019		
J	Tokumoto, MS; Pulcinelli, SH; Santilli, CV; Briois, V								Catalysis and temperature dependence on the formation of ZnO nanoparticles and of zinc acetate derivatives prepared by the sol-gel route								JOURNAL OF PHYSICAL CHEMISTRY B				107	2			568	574		10.1021/jp0217381			JAN 16 2003	2003										157							WOS:000180410600023		
J	Chen, F; Zhao, JC; Hidaka, H								Highly selective deethylation of rhodamine B: Adsorption and photooxidation pathways of the dye on the TiO2/SiO2 composite photocatalyst								INTERNATIONAL JOURNAL OF PHOTOENERGY				5	4			209	217		10.1155/S1110662X03000345			2003	2003										157							WOS:000184280800002		
